frame, time,Joint1: JointValue (degree),Joint2: JointValue (degree),Joint1: JointVel (degree/s),Joint1: GenForce (N.m),Joint1: JointAccl (degree/s^2),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint2: JointVel (degree/s)
67,0.66,48.56811239,-36.42608429,-44.45261022,11.59810576,-82.58995885,61.94246914,3.916521297,33.33945767
68,0.67,48.1194809,-36.08961067,-45.27124247,11.72743273,-81.12302486,60.84226865,3.923342178,33.95343185
69,0.68,47.66273778,-35.74705333,-46.07480385,11.86062034,-79.57603224,59.68202418,3.931073873,34.55610289
70,0.69,47.1980377,-35.39852828,-46.86250134,11.99757598,-77.95050768,58.46288076,3.939728465,35.146876
71,0.7,46.72554322,-35.04415742,-47.63355757,12.13820215,-76.24805538,57.18604154,3.949316815,35.72516818
72,0.71,46.24542456,-34.68406842,-48.38721161,12.28239649,-74.47035546,55.8527666,3.959848466,36.29040871
73,0.72,45.75785948,-34.31839461,-49.12271969,12.43005187,-72.61916229,54.46437172,3.971331533,36.84203977
74,0.73,45.26303308,-33.94727481,-49.83935596,12.58105643,-70.69630277,53.02222708,3.983772613,37.37951697
75,0.74,44.76113762,-33.57085322,-50.53641318,12.73529372,-68.70367454,51.5277559,3.997176688,37.90230988
76,0.75,44.25237237,-33.18927928,-51.21320344,12.89264274,-66.64324407,49.98243305,4.011547038,38.40990258
77,0.76,43.73694334,-32.80270751,-51.86905882,13.0529781,-64.51704477,48.38778358,4.026885156,38.90179412
78,0.77,43.21506314,-32.41129735,-52.50333209,13.21617012,-62.32717493,46.7453812,4.043190672,39.37749907
79,0.78,42.68695073,-32.01521305,-53.11539728,13.38208496,-60.0757957,45.05684678,4.060461282,39.83654796
80,0.79,42.15283123,-31.61462343,-53.70465037,13.55058479,-57.76512891,43.32384668,4.078692683,40.27848778
81,0.8,41.6129357,-31.20970178,-54.27050983,13.72152792,-55.39745491,41.54809119,4.097878518,40.70288237
82,0.81,41.06750088,-30.80062566,-54.81241723,13.89476899,-52.97511032,39.73133274,4.118010327,41.10931292
83,0.82,40.51676898,-30.38757674,-55.32983777,14.07015913,-50.50048568,37.87536426,4.139077508,41.49737832
84,0.83,39.96098745,-29.97074059,-55.82226081,14.24754619,-47.97602316,35.98201737,4.161067281,41.86669561
85,0.84,39.40040872,-29.55030654,-56.2892004,14.42677489,-45.4042141,34.05316058,4.183964676,42.2169003
86,0.85,38.83528993,-29.12646745,-56.73019573,14.60768709,-42.78759656,32.09069742,4.207752509,42.54764679
87,0.86,38.26589274,-28.69941955,-57.14481157,14.79012198,-40.12875283,30.09656462,4.232411388,42.85860868
88,0.87,37.692483,-28.26936225,-57.53263877,14.97391633,-37.43030687,28.07273015,4.257919712,43.14947908
89,0.88,37.11533053,-27.8364979,-57.89329458,15.15890474,-34.69492171,26.02119128,4.284253693,43.41997093
90,0.89,36.53470887,-27.40103165,-58.22642307,15.34491986,-31.92529685,23.94397264,4.311387382,43.6698173
91,0.9,35.95089493,-26.9631712,-58.53169549,15.53179272,-29.12416558,21.84312419,4.339292701,43.89877162
92,0.91,35.36416882,-26.52312661,-58.80881057,15.71935291,-26.29429227,19.72071921,4.367939492,44.10660793
93,0.92,34.77481349,-26.08111012,-59.05749483,15.90742893,-23.43846968,17.57885226,4.397295572,44.29312113
94,0.93,34.18311451,-25.63733588,-59.27750286,16.09584845,-20.55951614,15.4196371,4.427326796,44.45812714
95,0.94,33.58935975,-25.19201981,-59.46861752,16.28443859,-17.66027284,13.24520463,4.457997132,44.60146314
96,0.95,32.9938391,-24.74537933,-59.63065022,16.47302619,-14.74360098,11.05770074,4.489268745,44.72298766
97,0.96,32.39684422,-24.29763316,-59.76344104,16.66143817,-11.81237897,8.859284231,4.521102084,44.82258078
98,0.97,31.7986682,-23.84900115,-59.86685894,16.84950174,-8.869499573,6.65212468,4.55345598,44.9001442
99,0.98,31.19960529,-23.39970397,-59.94080185,17.03704476,-5.917867046,4.438400285,4.586287757,44.95560139
100,0.99,30.59995065,-22.94996299,-59.98519681,17.22389603,-2.960394299,2.220295724,4.61955334,44.98889761
101,1,30,-22.5,-60,17.40988554,-1.15E-14,8.65623223059247E-15,4.653207373,45
102,1.01,29.40004935,-22.05003701,-59.98519681,17.59484482,2.960394299,-2.220295724,4.687203348,44.98889761
103,1.02,28.80039471,-21.60029603,-59.94080185,17.77860719,5.917867046,-4.438400285,4.721493727,44.95560139
104,1.03,28.2013318,-21.15099885,-59.86685894,17.96100806,8.869499573,-6.65212468,4.75603008,44.9001442
105,1.04,27.60315578,-20.70236684,-59.76344104,18.1418852,11.81237897,-8.859284231,4.790763223,44.82258078
106,1.05,27.0061609,-20.25462067,-59.63065022,18.32107902,14.74360098,-11.05770074,4.825643351,44.72298766
107,1.06,26.41064025,-19.80798019,-59.46861752,18.49843285,17.66027284,-13.24520463,4.860620184,44.60146314
108,1.07,25.81688549,-19.36266412,-59.27750286,18.67379314,20.55951614,-15.4196371,4.895643108,44.45812714
109,1.08,25.22518651,-18.91888988,-59.05749483,18.84700979,23.43846968,-17.57885226,4.930661316,44.29312113
110,1.09,24.63583118,-18.47687339,-58.80881057,19.0179363,26.29429227,-19.72071921,4.965623954,44.10660793
111,1.1,24.04910507,-18.0368288,-58.53169549,19.18643005,29.12416558,-21.84312419,5.00048026,43.89877162
112,1.11,23.46529113,-17.59896835,-58.22642307,19.3523525,31.92529685,-23.94397264,5.0351797,43.6698173
113,1.12,22.88466947,-17.1635021,-57.89329458,19.51556936,34.69492171,-26.02119128,5.069672114,43.41997093
114,1.13,22.307517,-16.73063775,-57.53263877,19.67595081,37.43030687,-28.07273015,5.10390784,43.14947908
115,1.14,21.73410726,-16.30058045,-57.14481157,19.83337167,40.12875283,-30.09656462,5.137837848,42.85860868
116,1.15,21.16471007,-15.87353255,-56.73019573,19.98771153,42.78759656,-32.09069742,5.171413867,42.54764679
117,1.16,20.59959128,-15.44969346,-56.2892004,20.13885492,45.4042141,-34.05316058,5.204588502,42.2169003
118,1.17,20.03901255,-15.02925941,-55.82226081,20.28669139,47.97602316,-35.98201737,5.237315352,41.86669561
119,1.18,19.48323102,-14.61242326,-55.32983777,20.43111569,50.50048568,-37.87536426,5.269549114,41.49737832
120,1.19,18.93249912,-14.19937434,-54.81241723,20.5720278,52.97511032,-39.73133274,5.301245689,41.10931292
121,1.2,18.3870643,-13.79029822,-54.27050983,20.70933306,55.39745491,-41.54809119,5.332362279,40.70288237
122,1.21,17.84716877,-13.38537657,-53.70465037,20.84294218,57.76512891,-43.32384668,5.362857468,40.27848778
123,1.22,17.31304927,-12.98478695,-53.11539728,20.97277133,60.0757957,-45.05684678,5.392691309,39.83654796
124,1.23,16.78493686,-12.58870265,-52.50333209,21.09874216,62.32717493,-46.7453812,5.421825395,39.37749907
125,1.24,16.26305666,-12.19729249,-51.86905882,21.22078182,64.51704477,-48.38778358,5.450222923,38.90179412
126,1.25,15.74762763,-11.81072072,-51.21320344,21.33882292,66.64324407,-49.98243305,5.477848753,38.40990258
